ciudad,temperatura,humedad,velocidad_viento,descripcion
Barranquilla,27.71,54,9.13,Lluvioso
Barranquilla,15.18,87,5.99,Soleado
Barranquilla,29.85,91,8.09,Soleado
Barranquilla,16.69,90,7.03,Lluvioso
Barranquilla,20.46,96,3.44,Lluvioso
Barranquilla,28.94,50,3.11,Lluvioso
Barranquilla,27.69,80,8.74,Lluvioso
Barranquilla,30.38,99,1.93,Nublado
Barranquilla,32.82,92,2.78,Nublado
Barranquilla,28.39,55,8.81,Soleado
Barranquilla,34.84,79,1.18,Lluvioso
Barranquilla,27.76,62,5.74,Lluvioso
Barranquilla,17.94,55,3.12,Lluvioso
Barranquilla,29.76,88,3.98,Lluvioso
Barranquilla,15.95,92,4.65,Nublado
Barranquilla,18.39,52,6.4,Lluvioso
Barranquilla,29.88,70,9.57,Lluvioso
Barranquilla,22.94,85,5.56,Lluvioso
Barranquilla,20.11,72,3.58,Soleado
Barranquilla,16.1,85,1.42,Soleado
Barranquilla,33.63,94,3.16,Soleado
Barranquilla,23.85,84,6.21,Nublado
Barranquilla,33.16,90,1.94,Soleado
Barranquilla,16.59,88,2.7,Nublado
Barranquilla,25.58,73,9.5,Lluvioso
Barranquilla,29.57,84,3.6,Nublado
Barranquilla,16.39,94,4.96,Nublado
Barranquilla,25.94,92,5.73,Nublado
Barranquilla,32.13,52,8.15,Soleado
Barranquilla,29.64,61,7.8,Soleado
Barranquilla,27.57,56,3.75,Nublado
Barranquilla,27.01,57,8.19,Soleado
Barranquilla,34.38,66,3.56,Soleado
Barranquilla,26.04,74,2.88,Nublado
Barranquilla,18.92,90,9.8,Nublado
Barranquilla,25.87,64,3.97,Lluvioso
Barranquilla,30.38,96,7.45,Nublado
Barranquilla,29.95,59,1.27,Lluvioso
Barranquilla,17.95,72,6.04,Nublado
Barranquilla,25.32,67,8.12,Lluvioso
Barranquilla,15.62,51,3.27,Lluvioso
Barranquilla,16.93,79,3.09,Soleado
Barranquilla,23.91,71,5.39,Soleado
Barranquilla,17.64,65,8.49,Lluvioso
Barranquilla,18.9,55,5.92,Soleado
Barranquilla,31.84,50,9.63,Nublado
Barranquilla,17.72,67,7.23,Nublado
Barranquilla,33.02,75,4.33,Soleado
Barranquilla,17.54,70,8.83,Lluvioso
Barranquilla,20.7,83,8.31,Soleado
Barranquilla,25.02,50,6.22,Soleado
Barranquilla,34.79,58,9.3,Lluvioso
Barranquilla,30.4,91,3.58,Soleado
Barranquilla,29.61,67,1.01,Soleado
Barranquilla,21.25,94,1.87,Soleado
Barranquilla,19.24,62,4.56,Lluvioso
Barranquilla,30.33,74,9.79,Soleado
Barranquilla,26.66,63,4.41,Lluvioso
Barranquilla,28.34,91,9.73,Lluvioso
Barranquilla,18.35,64,2.14,Lluvioso
Barranquilla,28.15,96,5.71,Soleado
Barranquilla,16.02,56,9.66,Nublado
Barranquilla,33.17,72,9.04,Soleado
Barranquilla,25.3,79,6.03,Nublado
Barranquilla,29.98,69,8.18,Lluvioso
Barranquilla,15.66,98,1.24,Soleado
Barranquilla,21.65,77,6.18,Soleado
Barranquilla,28.95,61,7.03,Soleado
Barranquilla,20.73,69,7.12,Lluvioso
Barranquilla,34.54,87,9.81,Lluvioso
Barranquilla,28.56,55,2.01,Soleado
Barranquilla,25.41,72,7.96,Nublado
Barranquilla,21.71,58,4.6,Lluvioso
Barranquilla,27.59,52,5.99,Soleado
Barranquilla,20.19,73,5.71,Soleado
Barranquilla,33.84,94,6.44,Lluvioso
Barranquilla,32.42,89,1.27,Nublado
Barranquilla,32.75,58,4.41,Nublado
Barranquilla,16.6,73,1.12,Nublado
Barranquilla,34.44,95,9.48,Nublado
Barranquilla,24.36,61,5.35,Nublado
Barranquilla,19.75,97,5.0,Soleado
Barranquilla,18.15,93,8.19,Nublado
Barranquilla,22.53,60,8.78,Nublado
Barranquilla,17.97,93,4.15,Lluvioso
Barranquilla,18.71,78,7.37,Soleado
Barranquilla,29.01,55,6.19,Lluvioso
Barranquilla,19.31,76,5.01,Soleado
Barranquilla,24.16,79,8.57,Soleado
Barranquilla,17.34,50,6.05,Soleado
Barranquilla,26.37,90,7.45,Lluvioso
Barranquilla,17.14,58,9.17,Soleado
Barranquilla,34.8,100,6.41,Soleado
Barranquilla,21.68,70,4.41,Lluvioso
Barranquilla,32.56,94,7.81,Nublado
Barranquilla,26.01,54,1.83,Nublado
Barranquilla,25.94,63,9.13,Lluvioso
Barranquilla,31.78,74,1.54,Lluvioso
Barranquilla,20.08,61,4.95,Soleado
Barranquilla,29.37,68,6.89,Lluvioso
Barranquilla,28.19,89,2.27,Nublado
Barranquilla,18.71,100,7.52,Lluvioso
Barranquilla,21.24,97,8.46,Soleado
Barranquilla,18.0,85,9.82,Lluvioso
Barranquilla,23.84,89,7.06,Nublado
Barranquilla,21.37,58,2.48,Lluvioso
Barranquilla,23.29,68,2.0,Lluvioso
Barranquilla,17.46,93,4.31,Nublado
Barranquilla,28.96,79,1.0,Nublado
Barranquilla,21.67,62,7.41,Nublado
Barranquilla,16.67,99,1.12,Lluvioso
Barranquilla,26.01,93,7.4,Nublado
Barranquilla,25.11,69,6.34,Lluvioso
Barranquilla,20.82,85,8.1,Soleado
Barranquilla,22.49,98,5.37,Soleado
Barranquilla,17.68,83,4.44,Soleado
Barranquilla,24.65,79,1.15,Soleado
Barranquilla,23.57,98,4.57,Soleado
Barranquilla,23.29,77,6.4,Nublado
Barranquilla,22.27,94,1.39,Lluvioso
Barranquilla,22.06,63,4.67,Lluvioso
Barranquilla,17.01,92,7.44,Lluvioso
Barranquilla,19.41,64,4.27,Soleado
Barranquilla,34.08,82,8.6,Nublado
Barranquilla,18.71,58,3.49,Soleado
Barranquilla,18.64,99,2.03,Nublado
Barranquilla,24.49,88,1.16,Lluvioso
Barranquilla,25.8,70,3.19,Lluvioso
Barranquilla,29.53,51,2.53,Lluvioso
Barranquilla,29.43,90,9.78,Nublado
Barranquilla,21.33,68,3.97,Nublado
Barranquilla,22.69,85,6.24,Soleado
Cartagena,21.8,56,4.07,Lluvioso
Cartagena,29.44,62,5.06,Lluvioso
Cartagena,28.21,88,5.22,Soleado
Cartagena,21.88,78,5.05,Nublado
Cartagena,15.29,73,2.18,Soleado
Cartagena,32.76,75,8.49,Nublado
Cartagena,21.45,50,4.23,Soleado
Cartagena,17.38,55,9.24,Nublado
Cartagena,17.59,79,9.08,Nublado
Cartagena,17.3,77,5.82,Nublado
Cartagena,34.97,73,2.59,Nublado
Cartagena,31.45,80,8.96,Soleado
Cartagena,18.05,72,8.85,Nublado
Cartagena,32.75,56,4.04,Soleado
Cartagena,18.2,65,5.12,Nublado
Cartagena,16.99,95,9.82,Soleado
Cartagena,29.32,53,2.83,Soleado
Cartagena,23.44,56,8.44,Soleado
Cartagena,30.24,83,9.5,Lluvioso
Cartagena,20.87,83,2.3,Nublado
Cartagena,21.14,66,5.81,Soleado
Cartagena,23.08,68,3.15,Lluvioso
Cartagena,33.38,88,8.45,Soleado
Cartagena,30.82,57,4.93,Lluvioso
Cartagena,28.6,53,1.39,Soleado
Cartagena,27.63,100,6.75,Nublado
Cartagena,34.97,99,7.79,Nublado
Cartagena,33.78,57,7.71,Lluvioso
Cartagena,29.5,90,1.61,Soleado
Cartagena,27.53,54,9.15,Soleado
Cartagena,15.22,51,9.57,Nublado
Cartagena,18.95,69,7.84,Nublado
Cartagena,32.03,50,1.18,Soleado
Cartagena,23.49,64,4.47,Soleado
Cartagena,15.6,69,9.65,Nublado
Cartagena,15.25,77,5.88,Soleado
Cartagena,29.7,81,1.54,Nublado
Cartagena,30.35,92,6.79,Nublado
Cartagena,17.97,79,7.78,Lluvioso
Cartagena,15.99,85,3.98,Nublado
Cartagena,28.0,90,5.24,Lluvioso
Cartagena,19.31,70,9.31,Nublado
Cartagena,17.06,55,4.12,Soleado
Cartagena,30.84,65,6.22,Lluvioso
Cartagena,18.97,90,3.85,Nublado
Cartagena,15.68,66,7.06,Lluvioso
Cartagena,31.56,57,3.83,Nublado
Cartagena,21.61,52,3.22,Nublado
Cartagena,28.91,55,6.92,Nublado
Cartagena,31.0,93,3.95,Soleado
Cartagena,17.03,65,6.41,Lluvioso
Cartagena,33.82,96,6.76,Lluvioso
Cartagena,32.23,58,7.58,Soleado
Cartagena,24.79,59,5.93,Soleado
Cartagena,30.59,82,8.99,Nublado
Cartagena,21.97,70,4.76,Nublado
Cartagena,23.97,72,4.23,Lluvioso
Cartagena,25.45,99,3.19,Soleado
Cartagena,20.97,94,9.47,Soleado
Cartagena,19.04,56,6.2,Soleado
Cartagena,24.89,89,2.49,Nublado
Cartagena,25.2,61,2.9,Lluvioso
Cartagena,33.51,83,6.06,Soleado
Cartagena,21.58,72,2.51,Lluvioso
Cartagena,23.79,63,2.51,Lluvioso
Cartagena,34.47,65,8.16,Nublado
Cartagena,15.19,54,7.34,Nublado
Cartagena,18.29,53,7.11,Nublado
Cartagena,32.0,53,3.59,Soleado
Cartagena,29.73,65,6.0,Nublado
Cartagena,20.78,80,2.65,Soleado
Cartagena,29.93,54,5.03,Soleado
Cartagena,23.32,100,6.56,Soleado
Cartagena,29.01,51,1.24,Soleado
Cartagena,21.31,88,2.92,Nublado
Cartagena,28.59,97,9.16,Lluvioso
Cartagena,28.48,86,6.85,Soleado
Cartagena,27.13,100,9.06,Lluvioso
Cartagena,25.99,50,3.92,Soleado
Cartagena,22.8,89,2.32,Lluvioso
Cartagena,15.92,60,8.25,Nublado
Cartagena,28.22,60,2.16,Nublado
Cartagena,26.87,91,3.09,Lluvioso
Cartagena,15.58,64,6.32,Lluvioso
Cartagena,22.5,97,1.59,Soleado
Cartagena,33.32,60,8.57,Soleado
Cartagena,25.55,93,8.54,Soleado
Cartagena,32.81,59,1.37,Soleado
Cartagena,32.65,93,9.71,Nublado
Cartagena,33.35,98,4.68,Lluvioso
Cartagena,27.79,86,8.1,Soleado
Cartagena,17.92,75,7.25,Soleado
Cartagena,22.24,89,3.38,Soleado
Cartagena,33.97,70,8.08,Nublado
Cartagena,33.97,90,1.04,Nublado
Cartagena,30.67,80,5.52,Nublado
Cartagena,31.11,69,8.83,Lluvioso
Cartagena,18.18,79,4.14,Nublado
Cartagena,23.88,68,2.39,Nublado
Cartagena,19.98,76,5.07,Soleado
Cartagena,27.82,96,1.8,Lluvioso
Cartagena,20.73,93,4.0,Soleado
Cartagena,31.12,88,4.92,Lluvioso
Cartagena,32.89,52,1.4,Soleado
Cartagena,17.45,92,8.95,Soleado
Cartagena,23.45,63,1.1,Lluvioso
Cartagena,16.91,65,5.05,Lluvioso
Cartagena,18.7,51,6.3,Lluvioso
Cartagena,25.53,59,3.42,Lluvioso
Cartagena,27.63,91,1.42,Lluvioso
Cartagena,32.17,69,5.42,Soleado
Cartagena,22.52,80,8.04,Nublado
Cartagena,15.96,84,6.79,Soleado
Cartagena,25.33,100,7.29,Soleado
Cartagena,15.92,83,9.82,Nublado
Cartagena,16.31,54,2.52,Soleado
Cartagena,17.88,91,1.1,Lluvioso
Cartagena,20.59,66,8.34,Nublado
Cartagena,30.74,85,8.56,Lluvioso
Cartagena,15.4,63,1.81,Nublado
Cartagena,20.93,59,9.55,Soleado
Cartagena,27.41,86,4.21,Soleado
Cartagena,33.21,82,4.02,Soleado
Cartagena,16.98,67,3.56,Lluvioso
Cartagena,19.91,67,2.25,Soleado
Cartagena,26.91,70,8.95,Soleado
Cartagena,19.06,90,2.09,Lluvioso
Cartagena,25.61,50,7.9,Soleado
Cartagena,25.43,83,9.43,Lluvioso
Cartagena,20.62,91,1.8,Lluvioso
Cartagena,18.35,91,5.74,Lluvioso
Cartagena,17.46,99,1.22,Nublado
Cartagena,34.99,72,3.19,Nublado
Cartagena,31.52,65,7.55,Nublado
Cartagena,22.96,87,2.89,Lluvioso
Cartagena,17.92,82,6.04,Soleado
Cartagena,19.38,55,8.34,Lluvioso
Cartagena,26.75,79,2.37,Nublado
Cartagena,23.01,54,4.78,Nublado
Cartagena,15.07,73,2.82,Lluvioso
Cartagena,33.77,65,6.85,Nublado
Cartagena,22.75,87,4.66,Nublado
Cartagena,30.47,68,5.79,Soleado
Cartagena,22.98,99,7.56,Lluvioso
Cartagena,20.07,73,7.32,Soleado
Cartagena,29.07,62,9.61,Lluvioso
Cartagena,20.18,65,8.46,Soleado
Cartagena,30.59,76,4.78,Soleado
Cartagena,31.18,60,2.27,Soleado
Cartagena,21.77,56,2.89,Nublado
Cartagena,34.07,88,7.83,Lluvioso
Cartagena,18.95,61,3.67,Lluvioso
Cartagena,15.36,71,8.31,Nublado
Cartagena,15.34,86,1.13,Nublado
Cartagena,27.48,95,1.03,Nublado
Cartagena,33.22,75,9.48,Soleado
Cartagena,32.92,60,5.73,Nublado
Cartagena,32.26,50,9.86,Lluvioso
Cartagena,31.54,98,1.5,Nublado
Cartagena,18.1,92,3.06,Lluvioso
Cartagena,16.04,82,4.52,Soleado
Cartagena,20.73,99,6.45,Soleado
Cartagena,24.47,76,7.78,Soleado
Cartagena,30.82,61,7.29,Soleado
Cartagena,15.34,53,2.38,Nublado
Cartagena,18.29,74,2.86,Nublado
Cartagena,31.51,66,2.22,Nublado
Cartagena,19.51,70,9.05,Lluvioso
Cartagena,29.84,97,1.46,Soleado
Cartagena,24.31,67,5.05,Lluvioso
Cartagena,33.33,89,8.28,Soleado
Cartagena,22.09,72,2.74,Soleado
Cartagena,26.8,78,9.21,Soleado
Cartagena,20.82,71,2.01,Lluvioso
Cartagena,29.99,61,9.23,Nublado
Cartagena,16.02,91,2.33,Lluvioso
Cartagena,33.43,63,7.67,Soleado
Cartagena,16.91,76,5.65,Lluvioso
Cartagena,21.48,73,3.5,Lluvioso
Cartagena,33.55,63,3.03,Nublado
Cartagena,27.3,58,9.18,Nublado
Cartagena,21.76,61,2.07,Nublado
Cartagena,31.09,62,4.77,Soleado
Cartagena,24.97,55,1.91,Lluvioso
Cartagena,27.66,86,6.48,Soleado
Cartagena,26.1,83,2.58,Nublado
Cartagena,22.08,57,6.0,Soleado
Cartagena,30.08,87,5.7,Nublado
Cartagena,27.34,87,9.52,Soleado
Cartagena,15.5,95,3.29,Soleado
Cartagena,30.55,71,8.64,Lluvioso
Cartagena,15.1,76,7.6,Nublado
Cartagena,23.44,96,9.85,Soleado
Cartagena,29.45,100,7.3,Nublado
Cartagena,19.53,56,9.07,Nublado
Cartagena,27.09,68,9.7,Lluvioso
Cartagena,21.44,95,9.33,Soleado
Cartagena,16.41,87,7.58,Lluvioso
Cartagena,26.94,66,2.35,Nublado
Cartagena,25.27,60,5.01,Soleado
